run_date,target_date,horizon_days,point,ann_vol,lo_50,hi_50,lo_80,hi_80,lo_95,hi_95
2026-01-30,2026-02-02,1,332.27,32.86,328.31,336.28,324.34,340.39,318.81,346.29
2026-01-30,2026-02-03,2,332.29,32.98,326.69,337.98,321.11,343.85,313.39,352.33
2026-01-30,2026-02-04,3,332.31,33.09,325.45,339.3,318.65,346.55,309.27,357.06
2026-01-30,2026-02-05,4,332.32,33.2,324.41,340.43,316.58,348.85,305.82,361.12
2026-01-30,2026-02-06,5,332.34,33.3,323.49,341.44,314.76,350.91,302.81,364.75
2026-01-30,2026-02-09,6,332.36,33.4,322.66,342.35,313.12,352.79,300.1,368.09
2026-01-30,2026-02-10,7,332.38,33.5,321.9,343.2,311.61,354.53,297.62,371.2
2026-01-30,2026-02-11,8,332.4,33.6,321.19,344.0,310.21,356.17,295.32,374.13
2026-01-30,2026-02-12,9,332.42,33.69,320.52,344.75,308.9,357.73,293.17,376.91
2026-01-30,2026-02-13,10,332.44,33.78,319.89,345.47,307.66,359.21,291.15,379.58
2026-01-30,2026-02-16,11,332.45,33.87,319.29,346.16,306.48,360.63,289.23,382.14
2026-01-30,2026-02-17,12,332.47,33.95,318.71,346.82,305.35,362.0,287.4,384.62
2026-01-30,2026-02-18,13,332.49,34.04,318.16,347.46,304.27,363.33,285.65,387.01
2026-01-30,2026-02-19,14,332.51,34.12,317.63,348.08,303.23,364.61,283.97,389.34
2026-01-30,2026-02-20,15,332.53,34.19,317.12,348.68,302.23,365.86,282.36,391.61
2026-01-30,2026-02-23,16,332.55,34.27,316.63,349.27,301.26,367.08,280.8,393.83
2026-01-30,2026-02-24,17,332.56,34.34,316.14,349.84,300.33,368.26,279.3,395.99
2026-01-30,2026-02-25,18,332.58,34.41,315.68,350.39,299.42,369.42,277.84,398.12
2026-01-30,2026-02-26,19,332.6,34.48,315.22,350.94,298.53,370.56,276.42,400.2
2026-01-30,2026-02-27,20,332.62,34.55,314.78,351.47,297.67,371.67,275.05,402.24
2026-01-30,2026-03-02,21,332.64,34.61,314.35,351.99,296.83,372.76,273.72,404.25
2026-01-30,2026-03-03,22,332.66,34.68,313.93,352.5,296.02,373.83,272.42,406.22
