Model,MAE,RMSE,sMAPE,MASE
Granite-TTM,20.874951365637397,22.600745790431706,0.0551288593125501,5.7814916680204975
GARCH,23.348171928725243,25.852027533731892,0.0617752932468263,6.466470704772028
RF,24.55155555555555,26.08739223006161,0.06482812996214893,6.799757824348474
Ridge,24.709191113971848,29.209259456392246,0.06532709742471278,6.843416305348234
ETS,26.03888865017447,29.875575224116545,0.068703050759862,7.21168711431393
Naive,26.03888888888888,29.875577300658467,0.06870305135310242,7.211687180427875
ARIMA,26.04418363231598,29.92698177292555,0.0687161644026903,7.21315360372496
Theta,27.325128617635727,31.970789018133583,0.07195142672281063,7.567921987617318
RWD,29.23076107750375,35.04285406561962,0.07669802556475969,8.095702771201431
Prophet,49.243478729475754,60.30618002537541,0.12401280248952547,13.638391629858324
